FISHID,SeineID,SITEID,Year,Month,Heatwave
BL0001,3000,SITE17,2009,8,Before
BL0002,3000,SITE17,2009,8,Before
BL0003,3000,SITE17,2009,8,Before
BL0004,3000,SITE17,2009,8,Before
BL0005,3000,SITE17,2009,8,Before
BL0006,3000,SITE17,2009,8,Before
BL0007,3000,SITE17,2009,8,Before
BL0008,3000,SITE17,2009,8,Before
BL0009,3000,SITE17,2009,8,Before
BL0010,3000,SITE17,2009,8,Before
BL0011,3000,SITE17,2009,8,Before
BL0012,287,SITE14,2009,8,Before
BL0013,287,SITE14,2009,8,Before
BL0014,287,SITE14,2009,8,Before
BL0015,287,SITE14,2009,8,Before
BL0016,287,SITE14,2009,8,Before
BL0017,287,SITE14,2009,8,Before
BL0018,287,SITE14,2009,8,Before
BL0019,287,SITE14,2009,8,Before
BL0020,287,SITE14,2009,8,Before
BL0021,287,SITE14,2009,8,Before
BL0022,287,SITE14,2009,8,Before
BL0023,287,SITE14,2009,8,Before
BL0024,287,SITE14,2009,8,Before
BL0025,287,SITE14,2009,8,Before
BL0026,287,SITE14,2009,8,Before
BL0027,287,SITE14,2009,8,Before
BL0028,287,SITE14,2009,8,Before
BL0029,287,SITE14,2009,8,Before
BL0030,287,SITE14,2009,8,Before
BL0031,287,SITE14,2009,8,Before
BL0032,287,SITE14,2009,8,Before
BL0033,287,SITE14,2009,8,Before
BL0034,287,SITE14,2009,8,Before
BL0035,287,SITE14,2009,8,Before
BL0036,287,SITE14,2009,8,Before
BL0037,287,SITE14,2009,8,Before
BL0038,287,SITE14,2009,8,Before
BL0039,287,SITE14,2009,8,Before
BL0040,287,SITE14,2009,8,Before
BL0041,287,SITE14,2009,8,Before
BL0042,3001,SITE17,2009,9,Before
BL0043,3001,SITE17,2009,9,Before
BL0044,3001,SITE17,2009,9,Before
BL0045,3001,SITE17,2009,9,Before
BL0046,3001,SITE17,2009,9,Before
BL0047,3001,SITE17,2009,9,Before
BL0048,3001,SITE17,2009,9,Before
BL0049,3002,SITE17,2009,8,Before
BL0050,3002,SITE17,2009,8,Before
BL0051,3002,SITE17,2009,8,Before
BL0052,3002,SITE17,2009,8,Before
BL0053,3002,SITE17,2009,8,Before
BL0054,255,SITE15,2009,7,Before
BL0055,255,SITE15,2009,7,Before
BL0056,255,SITE15,2009,7,Before
BL0057,255,SITE15,2009,7,Before
BL0058,255,SITE15,2009,7,Before
BL0059,255,SITE15,2009,7,Before
BL0060,255,SITE15,2009,7,Before
BL0061,255,SITE15,2009,7,Before
BL0062,256,SITE15,2009,7,Before
BL0063,255,SITE15,2009,7,Before
BL0064,255,SITE15,2009,7,Before
BL0065,255,SITE15,2009,7,Before
BL0066,255,SITE15,2009,7,Before
BL0067,255,SITE15,2009,7,Before
BL0068,255,SITE15,2009,7,Before
BL0069,255,SITE15,2009,7,Before
BL0070,255,SITE15,2009,7,Before
BL0071,255,SITE15,2009,7,Before
BL0072,255,SITE15,2009,7,Before
BL0073,255,SITE15,2009,7,Before
BL0074,255,SITE15,2009,7,Before
BL0075,255,SITE15,2009,7,Before
BL0076,255,SITE15,2009,7,Before
BL0077,256,SITE15,2009,7,Before
BL0078,255,SITE15,2009,7,Before
BL0079,294,SITE14,2009,8,Before
BL0080,294,SITE14,2009,8,Before
BL0081,294,SITE14,2009,8,Before
