"","FISHID","Year","Month","Heatwave","SL_mm","OtoRadius_Avg","IncrementNumber","IncrementWidth","rad_at_age","log_sl_capture","log_rad_at_age","log_rad_capture","Size_Initial_BIC","mm_day_BIC","mm_mm_day_BIC"
"1","BL0251","2006",8,"Before",69,546.99,21,3.598,543.392,4.23410650459726,6.29783097476389,6.30443052071922,68.5652076585792,0.434792341420845,0.00634129693861493
"2","BL0251","2006",8,"Before",69,546.99,20,4.215,539.177,4.23410650459726,6.29004390290196,6.30443052071922,68.0558553186434,0.509352339935774,0.00748432794725659
"3","BL0251","2006",8,"Before",69,546.99,19,4.216,534.961,4.23410650459726,6.28219384704262,6.30443052071922,67.5463821359223,0.509473182721052,0.00754256803415243
"4","BL0251","2006",8,"Before",69,546.99,18,3.173,531.788,4.23410650459726,6.27624491368032,6.30443052071922,67.1629479782435,0.383434157678806,0.00570901321667736
"5","BL0251","2006",8,"Before",69,546.99,17,4.307,527.481,4.23410650459726,6.26811284574418,6.30443052071922,66.6424781020624,0.52046987618111,0.00780988179017015
"6","BL0251","2006",8,"Before",69,546.99,16,4.286,523.195,4.23410650459726,6.2599542435224,6.30443052071922,66.1245459243721,0.517932177690327,0.00783267651142278
"7","BL0251","2006",8,"Before",69,546.99,15,3.739,519.456,4.23410650459726,6.25278211012843,6.30443052071922,65.6727147502274,0.451831174144687,0.00688004410755872
"8","BL0251","2006",8,"Before",69,546.99,14,4.316,515.14,4.23410650459726,6.24443870838087,6.30443052071922,65.1511572889788,0.521557461248577,0.00800534453954826
"9","BL0251","2006",8,"Before",69,546.99,13,4.841,510.299,4.23410650459726,6.23499682843642,6.30443052071922,64.5661573654607,0.584999923518168,0.00906047296894133
"10","BL0251","2006",8,"Before",69,546.99,12,4.585,505.714,4.23410650459726,6.2259712921006,6.30443052071922,64.012093194973,0.554064170487663,0.00865561713159499
"11","BL0251","2006",8,"Before",69,546.99,11,3.409,502.305,4.23410650459726,6.21920750491709,6.30443052071922,63.6001401399692,0.411953055003806,0.00647723502019324
"12","BL0251","2006",8,"Before",69,546.99,10,4.302,498.003,4.23410650459726,6.21060610110289,6.30443052071922,63.0802744777145,0.51986566225473,0.00824133481597949
"13","BL0251","2006",8,"Before",69,546.99,9,4.486,493.517,4.23410650459726,6.20155730610191,6.30443052071922,62.538173742969,0.542100734745404,0.00866831732204764
"14","BL0251","2006",8,"Before",69,546.99,8,3.775,489.742,4.23410650459726,6.19387872182651,6.30443052071922,62.0819922285545,0.456181514414595,0.00734804889532485
"15","BL0251","2006",8,"Before",69,546.99,7,3.862,485.88,4.23410650459726,6.18596167983207,6.30443052071922,61.6152973918209,0.466694836733559,0.00757433391525772
"16","BL0251","2006",8,"Before",69,546.99,6,4.907,480.973,4.23410650459726,6.17581113547411,6.30443052071922,61.0223218444746,0.592975547346335,0.00971735472238553
"17","BL0251","2006",8,"Before",69,546.99,5,3.903,477.07,4.23410650459726,6.16766323064565,6.30443052071922,60.5506724535447,0.471649390929855,0.00778933365755287
"18","BL0251","2006",8,"Before",69,546.99,4,4.459,472.611,4.23410650459726,6.15827263997919,6.30443052071922,60.0118344740017,0.538837979542961,0.00897886199056948
"19","BL0251","2006",8,"Before",69,546.99,3,4.328,468.283,4.23410650459726,6.14907281401446,6.30443052071922,59.4888268993299,0.523007574671887,0.00879169420430744
"20","BL0251","2006",8,"Before",69,546.99,2,5.339,462.944,4.23410650459726,6.13760609644718,6.30443052071922,58.8436472687445,0.645179630585311,0.0109643038888924
"21","BL0251","2006",8,"Before",69,546.99,1,4.395,458.549,4.23410650459726,6.12806715621531,6.30443052071922,58.3125432274592,0.531104041285346,0.00910788677512612
"22","BL0252","2006",8,"Before",60,445.82,21,2.781,443.039,4.0943445622221,6.09365780228757,6.09991528311279,59.6434329840922,0.356567015907842,0.00597831140945466
"23","BL0252","2006",8,"Before",60,445.82,20,3.485,439.554,4.0943445622221,6.08576057647191,6.09991528311279,59.1966023294935,0.446830654598649,0.0075482483287056
"24","BL0252","2006",8,"Before",60,445.82,19,3.552,436.002,4.0943445622221,6.07764683049448,6.09991528311279,58.7411812433717,0.455421086121774,0.00775301205188418
"25","BL0252","2006",8,"Before",60,445.82,18,3.921,432.081,4.0943445622221,6.06861307066818,6.09991528311279,58.2384486761748,0.502732567196929,0.00863231385149509
"26","BL0252","2006",8,"Before",60,445.82,17,3.024,429.057,4.0943445622221,6.06158977723483,6.09991528311279,57.8507253190711,0.387723357103674,0.00670213476089049
"27","BL0252","2006",8,"Before",60,445.82,16,2.793,426.264,4.0943445622221,6.05505887263314,6.09991528311279,57.4926197184129,0.358105600658256,0.00622872296326353
"28","BL0252","2006",8,"Before",60,445.82,15,2.398,423.866,4.0943445622221,6.04941736754566,6.09991528311279,57.1851591991223,0.307460519290551,0.00537657888159328
