"","X","FISHID","Year","Month","Heatwave","CLADOCERA","GAMMARIDAE","HARPACTICOIDA","MYSIDAE","CAPRELLIDAE","CALANOIDA","ANNELIDA","OTHER","SL_mm","WholeBodyWW_g","HSI","LWResiduals_All","SeineID","SITEID","Date","TridentTemp","Site","Bay","Habitat","NMDS1","NMDS2","NMDS3"
"1",1,"BL0081",2009,8,"Before",0,0,0,0,0,1,0,0,63,2.3096,1.72324212,-0.028036283,294,"SITE14",2009-08-29,9.630833333,"LaminariaEast","Cook","Laminaria",-0.969484300032156,-0.0916760491491381,-1.17886183029897
"2",2,"BL0097",2009,8,"Before",0,0,0,0,0,1,0,0,61,2.5789,0.872465004,0.181135081,294,"SITE14",2009-08-29,9.630833333,"LaminariaEast","Cook","Laminaria",-0.969484300032156,-0.0916760491491381,-1.17886183029897
"3",3,"BL0258",2006,8,"Before",0,0,0,0,0,1,0,0,59,1.8169,NA,-0.066916663,65,"SITE10",2006-08-25,10.48958333,"EelgrassNorth","Cook","Eelgrass",-0.969484300032156,-0.0916760491491383,-1.17886183029897
"4",4,"BL0207",2009,8,"Before",1,0,0,0,0,0,0,0,46,0.8034,0.273836196,-0.120059747,3005,"SITE17",2009-08-23,9.260416667,"Holiday","Offshore","Offshore",-1.42709954817762,-1.19088159189257,0.553070249544377
"5",5,"BL0719",2007,8,"Before",1,0,0,0,0,0,0,0,57,1.0693,0.046759562,-0.491340615,122,"SITE3",2007-08-23,9.625833333,"EelgrassPoint","ALB","Eelgrass",-1.42709954817762,-1.19088159189257,0.553070249544377
"6",6,"BL0721",2007,8,"Before",1,0,0,0,0,0,0,0,59,1.1922,0.058714981,-0.488248075,122,"SITE3",2007-08-23,9.625833333,"EelgrassPoint","ALB","Eelgrass",-1.42709954817762,-1.19088159189257,0.553070249544377
"7",7,"BL2088",2013,8,"Before",0,1,0,0,0,0,0,0,92,8.0242,2.300540864,0.056739501,507,"SITE15",2013-08-28,9.385416667,"EelgrassSouth","Cook","Eelgrass",0.498266974033675,1.24712630902332,-0.300289906347478
"8",8,"BL2115",2013,8,"Before",0,1,0,0,0,0,0,0,79,4.9591,NA,0.042441322,523,"SITE15",2013-08-30,9.54375,"EelgrassSouth","Cook","Eelgrass",0.498266974033675,1.24712630902332,-0.300289906347478
"9",9,"BL2119",2013,8,"Before",0,1,0,0,0,0,0,0,92,9.2426,0.12225997,0.198100756,523,"SITE15",2013-08-30,9.54375,"EelgrassSouth","Cook","Eelgrass",0.498266974033675,1.24712630902332,-0.300289906347478
"10",10,"BL2184",2018,8,"Between",0,1,0,0,0,0,0,0,90,9.7499,0.752828234,0.318902096,781,"SITE13",2018-08-21,10.16416667,"MiddleCove","Cook","Bare",0.498266974033675,1.24712630902332,-0.300289906347478
"11",11,"BL2431",2012,8,"Before",0,1,0,0,0,0,0,0,85,7.3316,1.47716733,0.209035084,460,"SITE15",2012-08-29,9.817916667,"EelgrassSouth","Cook","Eelgrass",0.498266974033675,1.24712630902332,-0.300289906347478
"12",12,"BL2182",2018,8,"Between",0,0,1,0,0,0,0,0,70,3.5549,0.556977693,0.080275805,781,"SITE13",2018-08-21,10.16416667,"MiddleCove","Cook","Bare",-1.27750670625207,0.761408102843052,0.522733032659661
"13",13,"BL2275",2017,8,"Between",0,0,1,0,0,0,0,0,100,9.6855,0.402663776,-0.010665506,724,"SITE8",2017-08-19,10.4175,"WhiteRock","ALB","Bare",-1.27750670625207,0.761408102843052,0.522733032659661
"14",14,"BL2283",2017,8,"Between",0,0,1,0,0,0,0,0,52,1.1365,0.527936648,-0.148992179,735,"SITE10",2017-08-23,10.64958333,"EelgrassNorth","Cook","Eelgrass",-1.27750670625207,0.761408102843052,0.522733032659661
"15",15,"BL0137",2009,8,"Before",0,0,0,1,0,0,0,0,68,3.4126,0.462990096,0.128273029,273,"SITE8",2009-08-23,9.260416667,"WhiteRock","ALB","Bare",1.1647873698398,-1.05432175755451,-0.250502809312225
"16",16,"BL2171",2018,8,"Between",0,0,0,1,0,0,0,0,123,19.5949,1.907639233,0.059454811,792,"SITE1",2018-08-23,10.34541667,"EelgrassPatches","ALB","Eelgrass",1.1647873698398,-1.05432175755451,-0.250502809312225
"17",17,"BL2173",2018,8,"Between",0,0,0,1,0,0,0,0,116,17.7135,0.964800858,0.138109505,792,"SITE1",2018-08-23,10.34541667,"EelgrassPatches","ALB","Eelgrass",1.1647873698398,-1.05432175755451,-0.250502809312225
"18",18,"BL2174",2018,8,"Between",0,0,0,1,0,0,0,0,113,11.8967,0.53712374,-0.179643619,792,"SITE1",2018-08-23,10.34541667,"EelgrassPatches","ALB","Eelgrass",1.1647873698398,-1.05432175755451,-0.250502809312225
"19",19,"BL2177",2018,8,"Between",0,0,0,1,0,0,0,0,105,13.0661,0.64671172,0.139178939,792,"SITE1",2018-08-23,10.34541667,"EelgrassPatches","ALB","Eelgrass",1.1647873698398,-1.05432175755451,-0.250502809312225
"20",20,"BL2178",2018,8,"Between",0,0,0,1,0,0,0,0,103,12.9459,0.44492851,0.188883029,792,"SITE1",2018-08-23,10.34541667,"EelgrassPatches","ALB","Eelgrass",1.1647873698398,-1.05432175755451,-0.250502809312225
"21",21,"BL2180",2018,8,"Between",0,0,0,1,0,0,0,0,100,11.5262,1.996321424,0.163327277,792,"SITE1",2018-08-23,10.34541667,"EelgrassPatches","ALB","Eelgrass",1.1647873698398,-1.05432175755451,-0.250502809312225
"22",22,"BL2203",2015,8,"Heatwave",0,0,0,1,0,0,0,0,85,6.341,1.618041318,0.063877795,645,"SITE13",2015-08-26,12.72958333,"MiddleCove","Cook","Bare",1.1647873698398,-1.05432175755451,-0.250502809312225
"23",23,"BL2207",2015,8,"Heatwave",0,0,0,1,0,0,0,0,90,7.7425,0.719405877,0.0883697,645,"SITE13",2015-08-26,12.72958333,"MiddleCove","Cook","Bare",1.1647873698398,-1.05432175755451,-0.250502809312225
"24",24,"BL2225",2015,8,"Heatwave",0,0,0,1,0,0,0,0,103,11.601,1.942935954,0.079195194,645,"SITE13",2015-08-26,12.72958333,"MiddleCove","Cook","Bare",1.1647873698398,-1.05432175755451,-0.250502809312225
"25",25,"BL2228",2015,8,"Heatwave",0,0,0,1,0,0,0,0,95,10.186,0.372079325,0.196937867,645,"SITE13",2015-08-26,12.72958333,"MiddleCove","Cook","Bare",1.1647873698398,-1.05432175755451,-0.250502809312225
"26",26,"BL2356",2019,8,"Heatwave",0,0,0,1,0,0,0,0,84,5.8302,2.128571919,0.016166409,855,"SITE2",2019-08-24,13.21541667,"CobblePoint","ALB","Eelgrass",1.1647873698398,-1.05432175755451,-0.250502809312225
"27",27,"BL2214",2018,8,"Between",0,0,0,0,0,0,1,0,74,4.1738,1.392016867,0.070448624,781,"SITE13",2018-08-21,10.16416667,"MiddleCove","Cook","Bare",1.70066007541758,0.558126707356305,0.831071190880036
"28",28,"BL2261",2017,8,"Between",0,0,0,0,0,0,1,0,83,5.5568,0.322127843,0.004845728,719,"SITE2",2017-08-19,10.4175,"CobblePoint","ALB","Eelgrass",1.70066007541758,0.558126707356305,0.831071190880036
"29",29,"BL2267",2017,8,"Between",0,0,0,0,0,0,1,0,74,3.364,1.064209275,-0.145247526,730,"SITE14",2017-08-22,10.58541667,"LaminariaEast","Cook","Laminaria",1.70066007541758,0.558126707356305,0.831071190880036
"30",30,"BL2111",2013,8,"Before",0,0,0,0,0,0,1,0,85,6.3384,0.601098069,0.063467681,523,"SITE15",2013-08-30,9.54375,"EelgrassSouth","Cook","Eelgrass",1.70066007541758,0.558126707356305,0.831071190880036
"31",31,"BL0726",2007,8,"Before",0.998030893536387,0,0,0,0,0,0,0.00196910646361325,49,0.713,0.028050491,-0.433080687,122,"SITE3",2007-08-23,9.625833333,"EelgrassPoint","ALB","Eelgrass",-0.95129488280656,-1.13391577377962,0.520322834711855
"32",32,"BL2097",2013,8,"Before",0,0,0,0,0,1,0,0,78,4.2278,NA,-0.078054802,500,"SITE3",2013-08-27,9.402083333,"EelgrassPoint","ALB","Eelgrass",-0.969484300032156,-0.0916760491491381,-1.17886183029897
"33",33,"BL0725",2007,8,"Before",0.994924702193481,0,0,0,0,0.00507529780651938,0,0,45,0.5561,0.089911886,-0.420596792,122,"SITE3",2007-08-23,9.625833333,"EelgrassPoint","ALB","Eelgrass",-1.25901298198006,-1.15656023955968,0.449335237944874
"34",34,"BL0194",2009,8,"Before",0,0,0,0.00550084153325636,0,0,0,0.994499158466744,77,5.3939,0.661858766,0.205082344,275,"SITE1",2009-08-24,9.311666667,"EelgrassPatches","ALB","Eelgrass",0.250830975770851,-0.272985650168153,1.24480453687756
"35",35,"BL0560",2008,8,"Before",0.00693444765723978,0,0,0,0,0.99306555234276,0,0,45,0.5973,0.016742006,-0.349125426,207,"SITE3",2008-08-23,9.508333333,"EelgrassPoint","ALB","Eelgrass",-0.974486976036538,-0.177168717228612,-1.11657324640325
"36",36,"BL0717",2007,8,"Before",0.992853466998644,0,0,0,0,0,0,0.0071465330013558,50,0.7381,0.040644899,-0.460406105,122,"SITE3",2007-08-23,9.625833333,"EelgrassPoint","ALB","Eelgrass",-0.95867206964823,-1.1221684933463,0.531845050379334
"37",37,"BL0561",2008,8,"Before",0.0078206512446316,0,0,0,0,0.992179348755368,0,0,52,0.9637,0.020753346,-0.313920779,207,"SITE3",2008-08-23,9.508333333,"EelgrassPoint","ALB","Eelgrass",-0.974131380449849,-0.177317837943924,-1.1164298362813
"38",38,"BL0459",2006,8,"Before",0,0,0.991772380535291,0,0,0,0,0.00822761946470926,67,3.1607,0.044293986,0.097001804,60,"SITE4",2006-08-21,10.3375,"LaminariaPoint","ALB","Laminaria",-1.10962211342921,0.591877380324714,0.580892545097941
"39",39,"BL2215",2015,8,"Heatwave",0,0,0,0,0.987045129116674,0.0129548708833259,0,0,86,6.721,0.929921143,0.086228734,641,"SITE15",2015-08-26,12.72958333,"EelgrassSouth","Cook","Eelgrass",0.568517155037379,0.0947615689168067,-1.41549639094539
"40",40,"BL0463",2006,8,"Before",0,0,0.977881582406693,0,0.0221184175933074,0,0,0,75,4.9758,0.044213996,0.205064997,60,"SITE4",2006-08-21,10.3375,"LaminariaPoint","ALB","Laminaria",-1.11887176892318,0.663489326676382,0.529043703227672
"41",41,"BL2370",2019,8,"Heatwave",0,0,0,0.976115412386243,0.0238845876137574,0,0,0,87,8.143,2.741004544,0.242715369,855,"SITE2",2019-08-24,13.21541667,"CobblePoint","ALB","Eelgrass",0.99420194844005,-0.929948441434084,-0.307332590456393
"42",42,"BL2110",2013,8,"Before",0,0.974787052803146,0,0,0,0,0,0.0252129471968538,88,7.1072,0.462910851,0.071634968,523,"SITE15",2013-08-30,9.54375,"EelgrassSouth","Cook","Eelgrass",0.457581579558925,1.08614310448266,-0.259505876989529
