"","FISHID","Year","Month","StomachWW_g","ContentsWW_g","SL_mm","WholeBodyWW_g","Heatwave","StomachFullness","sqrtFullness"
"1","BL2289","2017","7",0.42584,0.38072,70,4.179,"Between",0.100234843139526,0.316598867874676
"2","BL2326","2017","7",0.27456,0.20551,64,3.017,"Between",0.0730964719774924,0.270363592181884
"3","BL2028","2018","7",0.33804,0.28613,78,4.961,"Between",0.0612059800593385,0.2473984237204
"4","BL2330","2017","7",0.07259,0.06081,47,1.204,"Between",0.0531932574637637,0.230636635129295
"5","BL2384","2019","7",0.17553,0.14424,63,2.8714,"Heatwave",0.0528901861276933,0.229978664505413
"6","BL2448","2012","7",0.13735,0.10281,56,2.06507,"Before",0.052393668525068,0.228896632839079
"7","BL2309","2015","7",0.03644,0.02846,47,0.59,"Heatwave",0.0506820529258824,0.225126748579289
"8","BL2454","2012","7",0.06354,0.04726,49,1.09027,"Before",0.0453111667193987,0.212864197833733
"9","BL2295","2017","7",0.09032,0.0779,58,1.822,"Between",0.0446648701335933,0.211340649505942
"10","BL2393","2019","7",0.06455,0.05258,47,1.2638,"Heatwave",0.0434107759118905,0.208352527970962
"11","BL2294","2017","7",0.1018,0.08156,58,2.0015,"Between",0.0424804941821099,0.20610796729411
"12","BL2404","2019","7",0.1377,0.09206,60,2.4155,"Heatwave",0.0396222841992907,0.199053470703956
"13","BL2406","2019","7",0.10509,0.0812,57,2.2227,"Heatwave",0.0379173476535139,0.194723772697413
"14","BL2453","2012","7",0.05809,0.03821,47,1.04952,"Before",0.0377826779128062,0.194377668246139
"15","BL2324","2017","7",0.02715,0.02167,40,0.597,"Between",0.0376653398918881,0.194075603546371
"16","BL2461","2012","7",0.0693,0.04781,52,1.35128,"Before",0.0366790183126577,0.191517671019302
"17","BL2443","2012","7",0.02732,0.02007,38,0.58094,"Before",0.0357836931909355,0.189165782294091
"18","BL2034","2018","7",0.12364,0.10549,67,3.0997,"Between",0.035231329799847,0.187700106019808
"19","BL2452","2012","7",0.02038,0.01294,36,0.39087,"Before",0.0342391448151774,0.185038225281095
"20","BL2444","2012","7",0.08576,0.05926,56,1.80906,"Before",0.0338667276260144,0.184029148848802
