FISHID,Increment_21Edge,Date
BL0009,increment1,2009-08-10
BL0009,increment10,2009-08-19
BL0009,increment11,2009-08-20
BL0009,increment12,2009-08-21
BL0009,increment13,2009-08-22
BL0009,increment14,2009-08-23
BL0009,increment15,2009-08-24
BL0009,increment16,2009-08-25
BL0009,increment17,2009-08-26
BL0009,increment18,2009-08-27
BL0009,increment19,2009-08-28
BL0009,increment2,2009-08-11
BL0009,increment20,2009-08-29
BL0009,increment21,2009-08-30
BL0009,increment3,2009-08-12
BL0009,increment4,2009-08-13
BL0009,increment5,2009-08-14
BL0009,increment6,2009-08-15
BL0009,increment7,2009-08-16
BL0009,increment8,2009-08-17
BL0009,increment9,2009-08-18
BL0010,increment1,2009-08-10
BL0010,increment10,2009-08-19
BL0010,increment11,2009-08-20
BL0010,increment12,2009-08-21
BL0010,increment13,2009-08-22
BL0010,increment14,2009-08-23
BL0010,increment15,2009-08-24
BL0010,increment16,2009-08-25
BL0010,increment17,2009-08-26
BL0010,increment18,2009-08-27
BL0010,increment19,2009-08-28
BL0010,increment2,2009-08-11
BL0010,increment20,2009-08-29
BL0010,increment21,2009-08-30
BL0010,increment3,2009-08-12
BL0010,increment4,2009-08-13
BL0010,increment5,2009-08-14
BL0010,increment6,2009-08-15
BL0010,increment7,2009-08-16
BL0010,increment8,2009-08-17
BL0010,increment9,2009-08-18
BL0012,increment1,2009-08-06
BL0012,increment10,2009-08-15
BL0012,increment11,2009-08-16
BL0012,increment12,2009-08-17
BL0012,increment13,2009-08-18
BL0012,increment14,2009-08-19
BL0012,increment15,2009-08-20
BL0012,increment16,2009-08-21
BL0012,increment17,2009-08-22
BL0012,increment18,2009-08-23
BL0012,increment19,2009-08-24
BL0012,increment2,2009-08-07
BL0012,increment20,2009-08-25
BL0012,increment21,2009-08-26
BL0012,increment3,2009-08-08
BL0012,increment4,2009-08-09
BL0012,increment5,2009-08-10
BL0012,increment6,2009-08-11
BL0012,increment7,2009-08-12
BL0012,increment8,2009-08-13
BL0012,increment9,2009-08-14
BL0015,increment1,2009-08-06
BL0015,increment10,2009-08-15
BL0015,increment11,2009-08-16
BL0015,increment12,2009-08-17
BL0015,increment13,2009-08-18
BL0015,increment14,2009-08-19
BL0015,increment15,2009-08-20
BL0015,increment16,2009-08-21
BL0015,increment17,2009-08-22
BL0015,increment18,2009-08-23
BL0015,increment19,2009-08-24
BL0015,increment2,2009-08-07
BL0015,increment20,2009-08-25
BL0015,increment21,2009-08-26
BL0015,increment3,2009-08-08
BL0015,increment4,2009-08-09
BL0015,increment5,2009-08-10
BL0015,increment6,2009-08-11
BL0015,increment7,2009-08-12
BL0015,increment8,2009-08-13
BL0015,increment9,2009-08-14
BL0020,increment1,2009-08-06
BL0020,increment10,2009-08-15
BL0020,increment11,2009-08-16
BL0020,increment12,2009-08-17
BL0020,increment13,2009-08-18
BL0020,increment14,2009-08-19
BL0020,increment15,2009-08-20
BL0020,increment16,2009-08-21
BL0020,increment17,2009-08-22
