FISHID,Year,Month,SL_mm,TL_mm,WholeBodyWW_g,TOTAL_Liver_WW_g
BL0215,2009,7,41,44,0.413,NA
BL0222,2009,7,36,40,0.4229,NA
BL0223,2009,7,39,43,0.6681,NA
BL0224,2009,7,39,43,0.5264,NA
BL0225,2009,7,32,35,0.3282,NA
BL0226,2009,7,35,39,0.4643,NA
BL0227,2009,7,39,43,0.655,NA
BL0228,2009,7,37,41,0.6422,NA
BL0229,2009,7,35,39,0.4798,NA
BL0230,2009,7,32,35,0.3168,NA
BL0231,2009,7,30,33,0.2892,NA
BL0232,2009,7,36,40,0.4597,NA
BL0233,2009,7,34,38,0.416,NA
BL0234,2009,7,43,46,0.8532,NA
BL0235,2009,7,39,42,0.6722,NA
BL0236,2009,7,34,38,0.3966,NA
BL0237,2009,7,33,37,0.3757,NA
BL0238,2009,7,31,33,0.3315,NA
BL0239,2009,7,40,43,0.6845,NA
BL0256,2006,8,64,69,2.2904,NA
BL0257,2006,8,64,69,2.8903,NA
BL0258,2006,8,59,64,1.8169,NA
BL0259,2006,8,60,65,2.0481,NA
BL0260,2006,8,60,65,2.1824,NA
BL0261,2006,8,61,66,2.3941,NA
BL0262,2006,8,61,66,2.2891,NA
BL0263,2006,8,60,65,1.9404,NA
BL0264,2006,8,58,63,1.8909,NA
BL0265,2006,8,72,84,5.5025,NA
BL0269,2006,8,69,75,3.6874,NA
BL0279,2006,8,81,87,5.794,NA
BL0363,2006,8,58,64,1.9371,NA
BL0821,2010,7,32,NA,0.3497,NA
BL0822,2010,7,38,41,0.6487,NA
BL0823,2010,7,30,33,0.2874,NA
BL0824,2010,7,30,33,0.2929,NA
BL0825,2010,7,33,37,0.3877,NA
BL0826,2010,7,34,38,0.4289,NA
BL0827,2010,7,37,41,0.5129,NA
BL0971,2012,7,37.02,40.08,0.4775,NA
BL2047,2013,7,43,47,0.7917,NA
BL2048,2013,7,46,51,0.8044,NA
BL2050,2013,7,50,55,1.4668,NA
BL2056,2013,7,41,44,0.5344,NA
BL2066,2013,7,49,54,0.9625,NA
BL2069,2013,7,48,53,0.9924,NA
BL2070,2013,7,49,54,1.1148,NA
BL2082,2013,7,50,54,0.7086,NA
BL2085,2013,7,45,49,0.5277,NA
BL2086,2013,7,48,52,0.4913,NA
BL2090,2013,8,64,69,2.4845,NA
BL2091,2013,8,77,83,4.6546,NA
BL2094,2013,8,67,71,3.0719,NA
BL2097,2013,8,78,85,4.2278,NA
BL2099,2013,8,74,80,3.9917,NA
BL2104,2013,8,73,78,2.6245,NA
BL2109,2013,8,80,85,4.568,NA
BL2115,2013,8,79,85,4.9591,NA
BL2128,2015,7,50,55,1.3465,NA
BL2132,2014,7,55,60,1.555,NA
BL2136,2014,7,78,83,2.0295,NA
BL2153,2014,7,55,60,1.604,NA
BL2155,2014,7,35,39,0.4158,NA
BL2157,2014,7,58,64,1.9216,NA
BL2161,2014,7,45,50,0.8655,NA
BL2162,2014,7,50,55,1.1983,NA
BL2167,2014,7,39,43,0.4964,NA
BL2447,2012,7,34,39,0.52046,NA
BL2450,2012,7,36,40,0.57485,NA
BL2452,2012,7,36,39,0.39087,NA
BL2453,2012,7,47,51,1.04952,NA
