Date,TridentTemp,Month,Year
1983-01-01,5.25,1,1983
1983-01-02,5.35,1,1983
1983-01-03,5.25,1,1983
1983-01-04,5,1,1983
1983-01-05,4.75,1,1983
1983-01-06,4.7,1,1983
1983-01-07,4.7,1,1983
1983-01-08,4.7,1,1983
1983-01-09,5,1,1983
1983-01-10,5.05,1,1983
1983-01-11,4.85,1,1983
1983-01-12,4.9,1,1983
1983-01-13,5,1,1983
1983-01-14,5,1,1983
1983-01-15,5.1,1,1983
1983-01-16,5.2,1,1983
1983-01-17,5.3,1,1983
1983-01-18,5.2,1,1983
1983-01-19,5.05,1,1983
1983-01-20,5.05,1,1983
1983-01-21,5.1,1,1983
1983-01-22,5,1,1983
1983-01-23,4.7,1,1983
1983-01-24,4.65,1,1983
1983-01-25,4.45,1,1983
1983-01-26,4.65,1,1983
1983-01-27,4.5,1,1983
1983-01-28,4.25,1,1983
1983-01-29,4.4,1,1983
1983-01-30,4.25,1,1983
1983-01-31,4.35,1,1983
1983-02-01,4.55,2,1983
1983-02-02,4.5,2,1983
1983-02-03,4.5,2,1983
1983-02-04,4.4,2,1983
1983-02-05,4.25,2,1983
1983-02-06,4.15,2,1983
1983-02-07,3.95,2,1983
1983-02-08,4,2,1983
1983-02-09,3.885,2,1983
1983-02-10,3.77,2,1983
1983-02-11,4.1,2,1983
1983-02-12,4.1,2,1983
1983-02-13,4,2,1983
1983-02-14,4,2,1983
1983-02-15,4.1,2,1983
1983-02-16,4.2,2,1983
1983-02-17,4.5,2,1983
1983-02-18,4.4,2,1983
1983-02-19,4.5,2,1983
1983-02-20,4.7,2,1983
1983-02-21,4.8,2,1983
1983-02-22,4.8,2,1983
1983-02-23,4.8,2,1983
1983-02-24,4.8,2,1983
1983-02-25,4.8,2,1983
1983-02-26,4.8,2,1983
1983-02-27,4.8,2,1983
1983-02-28,4.8,2,1983
1983-03-01,4.9,3,1983
1983-03-02,4.9,3,1983
1983-03-03,4.5,3,1983
1983-03-04,4.9,3,1983
1983-03-05,4.9,3,1983
1983-03-06,4.8,3,1983
1983-03-07,4.9,3,1983
1983-03-08,4.8,3,1983
1983-03-09,4.9,3,1983
1983-03-10,4.9,3,1983
1983-03-11,4.9,3,1983
1983-03-12,4.9,3,1983
1983-03-13,5,3,1983
1983-03-14,5,3,1983
1983-03-15,5.1,3,1983
1983-03-16,5.1,3,1983
1983-03-17,4.93,3,1983
1983-03-18,5.2,3,1983
1983-03-19,5.2,3,1983
1983-03-20,5.3,3,1983
1983-03-21,5.3,3,1983
1983-03-22,5.2,3,1983
1983-03-23,5.2,3,1983
1983-03-24,5.2,3,1983
1983-03-25,5.4,3,1983
1983-03-26,5.3,3,1983
1983-03-27,5.2,3,1983
1983-03-28,5.3,3,1983
1983-03-29,5.3,3,1983
1983-03-30,5.3,3,1983
1983-03-31,5.09,3,1983
1983-04-01,5.3,4,1983
1983-04-02,5.3,4,1983
1983-04-03,5.4,4,1983
1983-04-04,5.4,4,1983
1983-04-05,5.6,4,1983
1983-04-06,5.6,4,1983
1983-04-07,5.6,4,1983
1983-04-08,5.7,4,1983
1983-04-09,5.7,4,1983
1983-04-10,5.7,4,1983
1983-04-11,5.7,4,1983
1983-04-12,5.9,4,1983
1983-04-13,5.9,4,1983
1983-04-14,5.9,4,1983
1983-04-15,5.9,4,1983
1983-04-16,5.9,4,1983
1983-04-17,5.9,4,1983
1983-04-18,5.9,4,1983
1983-04-19,5.9,4,1983
1983-04-20,6,4,1983
1983-04-21,6,4,1983
1983-04-22,6,4,1983
1983-04-23,6,4,1983
1983-04-24,6,4,1983
1983-04-25,6.1,4,1983
1983-04-26,6.2,4,1983
1983-04-27,6.3,4,1983
1983-04-28,6.3,4,1983
1983-04-29,6.4,4,1983
1983-04-30,6.4,4,1983
1983-05-01,6.4,5,1983
1983-05-02,6.4,5,1983
1983-05-03,6.5,5,1983
1983-05-04,6.5,5,1983
1983-05-05,6.537209302,5,1983
1983-05-06,6.574418605,5,1983
1983-05-07,6.611627907,5,1983
1983-05-08,6.648837209,5,1983
1983-05-09,6.686046512,5,1983
1983-05-10,6.723255814,5,1983
1983-05-11,6.760465116,5,1983
1983-05-12,6.797674419,5,1983
1983-05-13,6.834883721,5,1983
1983-05-14,6.872093023,5,1983
1983-05-15,6.909302326,5,1983
1983-05-16,6.946511628,5,1983
1983-05-17,6.98372093,5,1983
1983-05-18,7.020930233,5,1983
1983-05-19,7.058139535,5,1983
1983-05-20,7.095348837,5,1983
1983-05-21,7.13255814,5,1983
1983-05-22,7.169767442,5,1983
1983-05-23,7.206976744,5,1983
1983-05-24,7.244186047,5,1983
1983-05-25,7.281395349,5,1983
1983-05-26,7.318604651,5,1983
1983-05-27,7.355813953,5,1983
1983-05-28,7.393023256,5,1983
