FISHID,Year,Month,StomachWW_g,ContentsWW_g
BL2289,2017,7,0.42584,0.38072
BL2326,2017,7,0.27456,0.20551
BL2028,2018,7,0.33804,0.28613
BL2330,2017,7,0.07259,0.06081
BL2384,2019,7,0.17553,0.14424
BL2448,2012,7,0.13735,0.10281
BL2309,2015,7,0.03644,0.02846
BL2454,2012,7,0.06354,0.04726
BL2295,2017,7,0.09032,0.0779
BL2393,2019,7,0.06455,0.05258
BL2294,2017,7,0.1018,0.08156
BL2404,2019,7,0.1377,0.09206
BL2406,2019,7,0.10509,0.0812
BL2453,2012,7,0.05809,0.03821
BL2324,2017,7,0.02715,0.02167
BL2461,2012,7,0.0693,0.04781
BL2443,2012,7,0.02732,0.02007
BL2034,2018,7,0.12364,0.10549
BL2452,2012,7,0.02038,0.01294
BL2444,2012,7,0.08576,0.05926
BL2447,2012,7,0.02388,0.01677
BL2332,2017,7,0.117,0.08589
BL2141,2014,7,0.06209,0.05152
BL2400,2019,7,0.04146,0.02968
BL0767,2007,7,0.01717,0.01323
BL2134,2014,7,0.05632,0.03665
BL0760,2007,7,0.01598,0.01366
BL2445,2012,7,0.09066,0.05961
BL2460,2012,7,0.04811,0.02918
BL0757,2007,7,0.02031,0.01601
BL2441,2012,7,0.02265,0.01663
BL2006,2018,7,0.23902,0.18741
BL2458,2012,7,0.01962,0.01492
BL2401,2019,7,0.06779,0.04089
BL0763,2007,7,0.01828,0.01167
BL2440,2012,7,0.03009,0.01891
BL2449,2012,7,0.06082,0.03741
BL2456,2012,7,0.03102,0.01555
BL0773,2007,7,0.01883,0.01549
BL2463,2012,7,0.0351,0.01891
BL0764,2007,7,0.01434,0.01136
BL2064,2013,7,0.04011,0.03134
BL2455,2012,7,0.02322,0.01477
BL2451,2012,7,0.01989,0.00938
BL2457,2012,7,0.02221,0.01371
BL2299,2016,7,0.07987,0.06745
BL2329,2017,7,0.02794,0.02147
BL2383,2019,7,0.02778,0.01839
BL0769,2007,7,0.01541,0.01286
BL2450,2012,7,0.02645,0.0131
BL2399,2019,7,0.03768,0.02579
BL2403,2019,7,0.08379,0.04687
BL2327,2017,7,0.09005,0.05739
BL2387,2019,7,0.06432,0.03288
BL2143,2014,7,0.01977,0.01823
BL2158,2014,7,0.06841,0.0478
BL2139,2014,7,0.04164,0.03154
BL0768,2007,7,0.01474,0.01077
BL2335,2016,7,0.08965,0.06359
BL2388,2019,7,0.06468,0.03684
BL2026,2018,7,0.17202,0.11751
BL2165,2014,7,0.0283,0.02363
BL0772,2007,7,0.01604,0.01178
BL0840,2010,7,0.02491,0.01841
BL2325,2017,7,0.00947,0.00763
BL2398,2019,7,0.02404,0.01574
BL0771,2007,7,0.01793,0.01204
BL2442,2012,7,0.02427,0.01609
BL2030,2018,7,0.13061,0.08613
BL0062,2009,7,0.02097,0.01607
BL2007,2018,7,0.21151,0.14347
BL2041,2018,7,0.04869,0.03975
BL0765,2007,7,0.01346,0.00878
BL0869,2010,7,0.02123,0.01703
BL2245,2016,7,0.11047,0.07927
BL2386,2019,7,0.08281,0.04484
BL2154,2014,7,0.02893,0.02621
BL2144,2014,7,0.05283,0.04071
BL2147,2014,7,0.03994,0.03055
BL2446,2012,7,0.03657,0.01907
BL2045,2018,7,0.1072,0.07225
BL2068,2013,7,0.05813,0.03667
BL2079,2013,7,0.03823,0.0298
BL2058,2013,7,0.03751,0.02526
BL2238,2016,7,0.05806,0.04652
BL2316,2017,7,0.05712,0.04494
BL2031,2018,7,0.1947,0.10732
BL2402,2019,7,0.04314,0.0244
BL2320,2017,7,0.05815,0.0384
BL2322,2017,7,0.07704,0.04971
BL2146,2014,7,0.03032,0.02273
BL2382,2019,7,0.03383,0.01401
BL2459,2012,7,0.01405,0.00658
BL2307,2015,7,0.02408,0.0169
BL0067,2009,7,0.01526,0.01286
BL2306,2016,7,0.02673,0.02009
BL2054,2013,7,0.02107,0.01734
BL2344,2016,7,0.05733,0.03756
BL2292,2017,7,0.06603,0.03974
BL2395,2019,7,0.02975,0.01874
BL2462,2012,7,0.02372,0.01139
BL0871,2010,7,0.02522,0.01661
BL0213,2009,7,0.01159,0.01026
BL2138,2014,7,0.04071,0.02784
BL2080,2013,7,0.0486,0.04101
BL0754,2007,7,0.02994,0.0094
BL0056,2009,7,0.01472,0.01085
