FISHID,Year,Month,SL_mm,WholeBodyWW_g,TOTAL_Liver_WW_g,Heatwave,logSL,logWeight,HSI,HSI_numeric,LWResiduals_All
BL0215,2009,7,41,0.413,NA,Before,3.713572067,-0.884307686,NA,NA,-0.432765896
BL0222,2009,7,36,0.4229,NA,Before,3.583518938,-0.860619535,NA,NA,-0.010451927
BL0223,2009,7,39,0.6681,NA,Before,3.663561646,-0.403317416,NA,NA,0.201511304
BL0224,2009,7,39,0.5264,NA,Before,3.663561646,-0.641693899,NA,NA,-0.036865179
BL0225,2009,7,32,0.3282,NA,Before,3.465735903,-1.1141321,NA,NA,0.097052266
BL0226,2009,7,35,0.4643,NA,Before,3.555348061,-0.767224384,NA,NA,0.169289773
BL0227,2009,7,39,0.655,NA,Before,3.663561646,-0.423120043,NA,NA,0.181708677
BL0228,2009,7,37,0.6422,NA,Before,3.610917913,-0.442855497,NA,NA,0.32333152
BL0229,2009,7,35,0.4798,NA,Before,3.555348061,-0.734385929,NA,NA,0.202128228
BL0230,2009,7,32,0.3168,NA,Before,3.465735903,-1.149484619,NA,NA,0.061699748
BL0231,2009,7,30,0.2892,NA,Before,3.401197382,-1.240636789,NA,NA,0.168364586
BL0232,2009,7,36,0.4597,NA,Before,3.583518938,-0.777181176,NA,NA,0.072986431
BL0233,2009,7,34,0.416,NA,Before,3.526360525,-0.877070019,NA,NA,0.148293832
BL0234,2009,7,43,0.8532,NA,Before,3.761200116,-0.158761292,NA,NA,0.146795774
BL0235,2009,7,39,0.6722,NA,Before,3.663561646,-0.397199364,NA,NA,0.207629356
BL0236,2009,7,34,0.3966,NA,Before,3.526360525,-0.924827063,NA,NA,0.100536787
BL0237,2009,7,33,0.3757,NA,Before,3.496507561,-0.978964326,NA,NA,0.137901835
BL0238,2009,7,31,0.3315,NA,Before,3.433987204,-1.104127469,NA,NA,0.204369826
BL0239,2009,7,40,0.6845,NA,Before,3.688879454,-0.379066634,NA,NA,0.148160478
BL0256,2006,8,64,2.2904,NA,Before,4.158883083,0.828726475,NA,NA,-0.084654444
