FISHID,Month,Year,PreySpecies,PreyCount,Prey_WW_g,PreyLH
BL0056,7,2009,ACARTIALONGIREMIS,6,0.00027456,Adult
BL0056,7,2009,HARPACTICOIDA,6,0.00311862,Adult
BL0061,7,2009,ACARTIALONGIREMIS,33,0.00151008,Adult
BL0061,7,2009,CLADOCERA,3,0.00020856,Adult
BL0061,7,2009,CUMACEA,2,0.0005871,Adult
BL0061,7,2009,HARPACTICOIDA,24,0.01247448,Adult
BL0062,7,2009,HARPACTICOIDA,23,0.01195471,Adult
BL0062,7,2009,OSTEICHTHYES,1,0.0035,Juvenile
BL0063,7,2009,ACARTIALONGIREMIS,23,0.00105248,Adult
BL0063,7,2009,HARPACTICOIDA,5,0.00259885,Adult
BL0063,7,2009,MYSIDAE,2,0.00015,Adult
BL0064,7,2009,HARPACTICOIDA,7,0.00363839,Adult
BL0066,7,2009,ACARTIALONGIREMIS,91,0.00416416,Adult
BL0066,7,2009,HARPACTICOIDA,10,0.0051977,Adult
BL0067,7,2009,ACARTIALONGIREMIS,21,0.00096096,Adult
BL0067,7,2009,GAMMARIDAE,1,0.00012,AdultSmall
BL0067,7,2009,HARPACTICOIDA,4,0.00207908,Adult
BL0072,7,2009,ACARTIALONGIREMIS,82,0.00375232,Adult
BL0072,7,2009,HARPACTICOIDA,3,0.00155931,Adult
BL0072,7,2009,MYSIDAE,4,0.00032,Adult
BL0081,8,2009,ACARTIALONGIREMIS,44,0.00201344,Adult
BL0083,8,2009,ACARTIALONGIREMIS,562,0.02571712,Adult
BL0083,8,2009,CLADOCERA,4,0.00027808,Adult
BL0083,8,2009,HARPACTICOIDA,2,0.00103954,Adult
BL0084,8,2009,ACARTIALONGIREMIS,1404,0.06424704,Adult
BL0084,8,2009,CIRRIPEDIA,2,0.0000485,BarnCyp
BL0084,8,2009,CLADOCERA,83,0.00577016,Adult
BL0084,8,2009,GAMMARIDAE,1,0.00015823,AdultVerySmall
BL0084,8,2009,HARPACTICOIDA,2,0.00103954,Adult
BL0084,8,2009,SIPUNCULIDA,2,0.01224,Adult
BL0085,8,2009,ACARTIALONGIREMIS,214,0.00979264,Adult
BL0085,8,2009,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0085,8,2009,CLADOCERA,3,0.00020856,Adult
BL0085,8,2009,HARPACTICOIDA,1,0.00051977,Adult
BL0095,8,2009,ACARTIALONGIREMIS,285,0.0130416,Adult
BL0095,8,2009,CIRRIPEDIA,4,0.000097,BarnCyp
BL0095,8,2009,CLADOCERA,2,0.00013904,Adult
BL0095,8,2009,HARPACTICOIDA,2,0.00103954,Adult
BL0097,8,2009,ACARTIALONGIREMIS,74,0.00338624,Adult
BL0098,8,2009,ACARTIALONGIREMIS,188,0.00860288,Adult
BL0098,8,2009,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0098,8,2009,CLADOCERA,4,0.00027808,Adult
BL0098,8,2009,HARPACTICOIDA,2,0.00103954,Adult
