"","FISHID","Year","Month","Heatwave","CLADOCERA","MYSIDAE","GAMMARIDAE","HARPACTICOIDA","CAPRELLIDAE","CALANOIDA","OTHER"
"1","BL0747",2007,7,"Before",1,0,0,0,0,0,0
"2","BL0770",2007,7,"Before",1,0,0,0,0,0,0
"3","BL2128",2015,7,"Heatwave",1,0,0,0,0,0,0
"4","BL0212",2009,7,"Before",0,1,0,0,0,0,0
"5","BL0236",2009,7,"Before",0,1,0,0,0,0,0
"6","BL2140",2014,7,"Heatwave",0,1,0,0,0,0,0
"7","BL2142",2014,7,"Heatwave",0,1,0,0,0,0,0
"8","BL2154",2014,7,"Heatwave",0,1,0,0,0,0,0
"9","BL2235",2016,7,"Heatwave",0,1,0,0,0,0,0
"10","BL2299",2016,7,"Heatwave",0,1,0,0,0,0,0
"11","BL2307",2015,7,"Heatwave",0,1,0,0,0,0,0
"12","BL2308",2015,7,"Heatwave",0,1,0,0,0,0,0
"13","BL2309",2015,7,"Heatwave",0,1,0,0,0,0,0
"14","BL2315",2017,7,"Between",0,1,0,0,0,0,0
"15","BL2295",2017,7,"Between",0,0,0,0,0,0,1
"16","BL2289",2017,7,"Between",0,0,0,0,0,0,1
"17","BL2252",2016,7,"Heatwave",0,0,0,0,0,0,1
"18","BL0208",2009,7,"Before",0,0,0,0,0,1,0
"19","BL0210",2009,7,"Before",0,0,0,0,0,1,0
"20","BL0225",2009,7,"Before",0,0,0,0,0,1,0
"21","BL0228",2009,7,"Before",0,0,0,0,0,1,0
"22","BL0231",2009,7,"Before",0,0,0,0,0,1,0
"23","BL0233",2009,7,"Before",0,0,0,0,0,1,0
"24","BL2060",2013,7,"Before",0,0,0,0,0,1,0
"25","BL2066",2013,7,"Before",0,0,0,0,0,1,0
"26","BL2126",2015,7,"Heatwave",0,0,0,0,0,1,0
"27","BL2310",2015,7,"Heatwave",0,0,0,0,0,1,0
"28","BL2232",2016,7,"Heatwave",0,0,1,0,0,0,0
"29","BL2253",2016,7,"Heatwave",0,0,1,0,0,0,0
"30","BL2444",2012,7,"Before",0,0,1,0,0,0,0
"31","BL0064",2009,7,"Before",0,0,0,1,0,0,0
"32","BL0871",2010,7,"Before",0,0,0,1,0,0,0
"33","BL2077",2013,7,"Before",0,0,0,1,0,0,0
"34","BL2083",2013,7,"Before",0,0,0,1,0,0,0
"35","BL2320",2017,7,"Between",0,0,0,1,0,0,0
"36","BL0862",2010,7,"Before",0,0,0,0,0,0.995705138141575,0.00429486185842539
"37","BL2076",2013,7,"Before",0,0,0.00816933248035059,0.991830667519649,0,0,0
"38","BL0771",2007,7,"Before",0.98780388184551,0,0,0,0,0,0.0121961181544896
"39","BL2456",2012,7,"Before",0.00370910683555711,0,0,0.01471868382201,0,0.981572209342433,0
"40","BL2325",2017,7,"Between",0,0,0.0109431069462345,0.980558624271219,0.00849826878254657,0,0
"41","BL2442",2012,7,"Before",0,0,0,0,0.0237938534909154,0.974162697189361,0.00204344931972375
"42","BL2440",2012,7,"Before",0,0,0.0149093546297446,0.00993985625579808,0,0.973915030531575,0.00123575858288271
"43","BL2451",2012,7,"Before",0,0.966155422713319,0,0.0338445772866813,0,0,0
"44","BL2332",2017,7,"Between",0,0,0.964395879536734,0,0.0356041204632661,0,0
"45","BL0759",2007,7,"Before",0.96267842646833,0,0,0,0,0.0373215735316703,0
"46","BL2443",2012,7,"Before",0,0,0.00534060568540707,0.0193498900171898,0,0.971589558879527,0.00371994541787614
"47","BL2134",2014,7,"Heatwave",0,0.958040230407761,0,0.0419597695922389,0,0,0
"48","BL2028",2018,7,"Between",0,0.957797539078327,0,0,0,0,0.0422024609216727
"49","BL2341",2016,7,"Heatwave",0,0,0,0.952162581554489,0,0,0.0478374184455111
"50","BL2314",2017,7,"Between",0,0.0496091474072635,0,0,0,0,0.950390852592736
"51","BL2328",2017,7,"Between",0,0,0,0.949296904386869,0.050703095613131,0,0
