"","FISHID","Year","Month","Heatwave","CLADOCERA","GAMMARIDAE","HARPACTICOIDA","MYSIDAE","CAPRELLIDAE","CALANOIDA","ANNELIDA","OTHER"
"1","BL0081",2009,8,"Before",0,0,0,0,0,1,0,0
"2","BL0097",2009,8,"Before",0,0,0,0,0,1,0,0
"3","BL0258",2006,8,"Before",0,0,0,0,0,1,0,0
"4","BL0207",2009,8,"Before",1,0,0,0,0,0,0,0
"5","BL0719",2007,8,"Before",1,0,0,0,0,0,0,0
"6","BL0721",2007,8,"Before",1,0,0,0,0,0,0,0
"7","BL2088",2013,8,"Before",0,1,0,0,0,0,0,0
"8","BL2115",2013,8,"Before",0,1,0,0,0,0,0,0
"9","BL2119",2013,8,"Before",0,1,0,0,0,0,0,0
"10","BL2184",2018,8,"Between",0,1,0,0,0,0,0,0
"11","BL2431",2012,8,"Before",0,1,0,0,0,0,0,0
"12","BL2182",2018,8,"Between",0,0,1,0,0,0,0,0
"13","BL2275",2017,8,"Between",0,0,1,0,0,0,0,0
"14","BL2283",2017,8,"Between",0,0,1,0,0,0,0,0
"15","BL0137",2009,8,"Before",0,0,0,1,0,0,0,0
"16","BL2171",2018,8,"Between",0,0,0,1,0,0,0,0
"17","BL2173",2018,8,"Between",0,0,0,1,0,0,0,0
"18","BL2174",2018,8,"Between",0,0,0,1,0,0,0,0
"19","BL2177",2018,8,"Between",0,0,0,1,0,0,0,0
"20","BL2178",2018,8,"Between",0,0,0,1,0,0,0,0
"21","BL2180",2018,8,"Between",0,0,0,1,0,0,0,0
"22","BL2203",2015,8,"Heatwave",0,0,0,1,0,0,0,0
"23","BL2207",2015,8,"Heatwave",0,0,0,1,0,0,0,0
"24","BL2225",2015,8,"Heatwave",0,0,0,1,0,0,0,0
"25","BL2228",2015,8,"Heatwave",0,0,0,1,0,0,0,0
"26","BL2356",2019,8,"Heatwave",0,0,0,1,0,0,0,0
"27","BL2214",2018,8,"Between",0,0,0,0,0,0,1,0
"28","BL2261",2017,8,"Between",0,0,0,0,0,0,1,0
"29","BL2267",2017,8,"Between",0,0,0,0,0,0,1,0
"30","BL2111",2013,8,"Before",0,0,0,0,0,0,1,0
"31","BL0726",2007,8,"Before",0.998030893536387,0,0,0,0,0,0,0.00196910646361325
"32","BL2097",2013,8,"Before",0,0,0,0,0,1,0,0
"33","BL0725",2007,8,"Before",0.994924702193481,0,0,0,0,0.00507529780651938,0,0
"34","BL0194",2009,8,"Before",0,0,0,0.00550084153325636,0,0,0,0.994499158466744
"35","BL0560",2008,8,"Before",0.00693444765723978,0,0,0,0,0.99306555234276,0,0
"36","BL0717",2007,8,"Before",0.992853466998644,0,0,0,0,0,0,0.0071465330013558
"37","BL0561",2008,8,"Before",0.0078206512446316,0,0,0,0,0.992179348755368,0,0
"38","BL0459",2006,8,"Before",0,0,0.991772380535291,0,0,0,0,0.00822761946470926
"39","BL2215",2015,8,"Heatwave",0,0,0,0,0.987045129116674,0.0129548708833259,0,0
"40","BL0463",2006,8,"Before",0,0,0.977881582406693,0,0.0221184175933074,0,0,0
"41","BL2370",2019,8,"Heatwave",0,0,0,0.976115412386243,0.0238845876137574,0,0,0
"42","BL2110",2013,8,"Before",0,0.974787052803146,0,0,0,0,0,0.0252129471968538
"43","BL2179",2018,8,"Between",0,0.0263175725619672,0,0.973682427438033,0,0,0,0
"44","BL0881",2010,8,"Before",0,0.972217793385012,0.0277822066149879,0,0,0,0,0
"45","BL0488",2006,8,"Before",0,0,0.972106510767242,0,0,0.0278934892327578,0,0
"46","BL0083",2009,8,"Before",0.00866413904771687,0,0.0209865666634647,0,0,0.970349294288818,0,0
"47","BL0127",2009,8,"Before",0,0.033740366872897,0,0.966259633127103,0,0,0,0
"48","BL2376",2019,8,"Heatwave",0.0086199422200294,0.0263957501732888,0,0.964984307606682,0,0,0,0
"49","BL2425",2012,8,"Before",0.00692995192040579,0,0.00393439024871811,0,0,0.962793615667216,0,0.0263420421636598
"50","BL2107",2013,8,"Before",0,0.966759964480329,0,0.0203494853950781,0,0,0,0.0128905501245927
"51","BL0544",2008,8,"Before",0,0,0.0419041150373967,0,0,0.958095884962603,0,0
